,tp,v
844,time-9,V3-48*03
845,time-9,V3-48*04
846,time-9,V3-48*04
847,time-9,V3-48*04
848,time-9,V3-49*03
849,time-9,V3-49*03
850,time-9,V3-49*03
851,time-9,V3-49*04
852,time-9,V3-49*04
853,time-9,V3-49*04
854,time-9,V3-49*04
855,time-9,V3-49*04
856,time-9,V3-49*04
857,time-9,V3-49*04
858,time-9,V3-49*04
859,time-9,V3-53*01
860,time-9,V3-53*01
861,time-9,V3-53*01
862,time-9,V3-53*01
863,time-9,V3-53*01
864,time-9,V3-53*01
865,time-9,V3-53*01
866,time-9,V3-53*01
867,time-9,V3-53*01
868,time-9,V3-53*01
869,time-9,V3-53*01
870,time-9,V3-53*01
871,time-9,V3-53*01
872,time-9,V3-53*01
873,time-9,V3-53*01
874,time-9,V3-53*01
875,time-9,V3-53*01
876,time-9,V3-53*02
877,time-9,V3-53*02
878,time-9,V3-53*03
879,time-9,V3-53*03
880,time-9,V3-64*01
881,time-9,V3-64*01
882,time-9,V3-64
883,time-9,V3-64
884,time-9,V3-7*01
885,time-9,V3-7*01
886,time-9,V3-7*01
887,time-9,V3-7*01
888,time-9,V3-7*01
889,time-9,V3-7*01
890,time-9,V3-7*01
891,time-9,V3-7*01
892,time-9,V3-7*01
893,time-9,V3-7*01
894,time-9,V3-7*01
895,time-9,V3-7*01
896,time-9,V3-7*01
897,time-9,V3-7*01
898,time-9,V3-7*01
899,time-9,V3-7*01
900,time-9,V3-7*01
901,time-9,V3-7*01
902,time-9,V3-7*01
903,time-9,V3-7*01
904,time-9,V3-7*01
905,time-9,V3-7*01
906,time-9,V3-7*01
907,time-9,V3-7*01
908,time-9,V3-7*01
909,time-9,V3-7*01
910,time-9,V3-7*01
911,time-9,V3-7*01
912,time-9,V3-7*01
913,time-9,V3-7*01
914,time-9,V3-7*01
915,time-9,V3-7*01
916,time-9,V3-7*01
917,time-9,V3-7*01
918,time-9,V3-7*01
919,time-9,V3-7*01
920,time-9,V3-7*01
921,time-9,V3-7*01
922,time-9,V3-7*01
923,time-9,V3-7*01
924,time-9,V3-7*01
925,time-9,V3-7*01
926,time-9,V3-7*01
927,time-9,V3-7*01
928,time-9,V3-7*01
929,time-9,V3-7*01
930,time-9,V3-7*01
931,time-9,V3-7*01
932,time-9,V3-7*01
933,time-9,V3-7*01
934,time-9,V3-7*01
935,time-9,V3-7*01
936,time-9,V3-7*01
937,time-9,V3-7*01
938,time-9,V3-7*01
939,time-9,V3-7*01
940,time-9,V3-7*01
941,time-9,V3-7*01
942,time-9,V3-7*01
943,time-9,V3-7*01
944,time-9,V3-7*01
945,time-9,V3-7*01
946,time-9,V3-7*01
947,time-9,V3-7*01
948,time-9,V3-7*01
949,time-9,V3-7*01
950,time-9,V3-7*01
951,time-9,V3-7*01
952,time-9,V3-7*01
953,time-9,V3-7*01
954,time-9,V3-7*01
955,time-9,V3-7*01
956,time-9,V3-7*01
957,time-9,V3-7*01
958,time-9,V3-7*01
959,time-9,V3-72*01
960,time-9,V3-72*01
961,time-9,V3-72*01
962,time-9,V3-72*01
963,time-9,V3-72*01
964,time-9,V3-72*01
965,time-9,V3-72*01
966,time-9,V3-72*01
967,time-9,V3-72*01
968,time-9,V3-73*01
969,time-9,V3-73*01
970,time-9,V3-74*01
971,time-9,V3-74*01
972,time-9,V3-74*01
973,time-9,V3-74*01
974,time-9,V3-74*01
975,time-9,V3-74*01
976,time-9,V3-74*01
977,time-9,V3-74*01
978,time-9,V3-74*01
979,time-9,V3-74*01
980,time-9,V3-74*01
981,time-9,V3-74*01
982,time-9,V3-74*01
983,time-9,V3-74*01
984,time-9,V3-74*01
985,time-9,V3-74*01
986,time-9,V3-74*01
987,time-9,V3-74*01
988,time-9,V3-74*01
989,time-9,V3-74*01
990,time-9,V3-74*01
991,time-9,V3-74*01
992,time-9,V3-74*01
993,time-9,V3-74*01
994,time-9,V3-74*01
995,time-9,V3-74*01
996,time-9,V3-74*01
997,time-9,V3-74*01
998,time-9,V3-74*01
999,time-9,V3-74*01
1000,time-9,V3-74*01
1001,time-9,V3-74*01
1002,time-9,V3-74*02
1003,time-9,V3-74*02
1004,time-9,V3-74*02
1005,time-9,V3-74*02
1006,time-9,V3-74*02
1007,time-9,V3-74*02
1008,time-9,V3-74*02
1009,time-9,V3-74*02
1010,time-9,V3-74*02
1011,time-9,V3-74*02
1012,time-9,V3-74*02
1013,time-9,V3-74*02
1014,time-9,V3-74*02
1015,time-9,V3-74*02
1016,time-9,V3-74*02
1017,time-9,V3-74*03
1018,time-9,V3-74*03
1019,time-9,V3-74*03
1020,time-9,V3-74*03
1021,time-9,V3-74*03
1022,time-9,V3-74*03
1023,time-9,V3-74*03
1024,time-9,V3-74*03
1025,time-9,V3-74*03
1026,time-9,V3-74*03
1027,time-9,V3-74*03
1028,time-9,V3-74*03
1029,time-9,V3-74*03
1030,time-9,V3-74*03
1031,time-9,V3-74*03
1032,time-9,V3-74*03
1033,time-9,V3-74*03
1034,time-9,V3-74*03
1035,time-9,V3-74*03
1036,time-9,V3-74*03
1037,time-9,V3-74*03
1038,time-9,V3-74*03
1039,time-9,V3-74*03
1040,time-9,V3-74*03
1041,time-9,V3-74*03
1042,time-9,V3-74*03
1043,time-9,V3-9*01
1044,time-9,V3-9*01
1045,time-9,V3-9*01
1046,time-9,V3-9*01
1047,time-9,V3-9*01
1048,time-9,V3-9*01
1049,time-9,V3-9*01
1050,time-9,V3-9*01
1051,time-9,V3-9*01
1052,time-9,V3-9*01
1053,time-9,V3-9*01
1054,time-9,V3-9*01
1055,time-9,V3-9*01
1056,time-9,V3-9*02
1057,time-9,V3-9*03
1058,time-9,V3-9*03
1059,time-9,V3-NL1*01
1060,time-9,V3/OR16-13*01
1061,time-9,V3/OR16-9*01
